id,author,text,sentiment,concept,subjective/objective,country
2.029464909373666e+18,Rand Group,… anyway… the car save the one inside the car too… so it was the right decision to buy that electric car!,positive,Build & Comfort,subjective,Unknown
2.029464900196791e+18,yang li,"Time for an electric car, anyone got Elons number?",neutral,Software/Tech,objective,Unknown
2.029460218002952e+18,Melissa,"CLEAN ENERGY RETORT™ /
RETORT /

      Cars Sit 96% Daily...
      80% Of You Drive Less Then 40 Miles / Daily... 
      Greater Then 11 Billion Level 1, 120V (1.5 kW) Outlets; Baseline #EV Charging Outlets In North America... 
      Daily Home / Work L1 #ParkCharging",neutral,Charging,objective,United States
2.02945903703797e+18,Nic,"50% of EV charging is already renewable, increasing all the time.

Are you saying diesel and petrol fumes don't cause respiratory illnesses? Will add some emojis:",neutral,Sustainability,objective,Unknown
2.02945580728105e+18,Gnihc08,"Battery electric won't cut...................piston, oil and steal",neutral,Sustainability,objective,Unknown
2.029455724556813e+18,Aaron Wade,Electric vehicles are the answer,neutral,Cost & Value,objective,Unknown
2.029455701727166e+18,Graham Martin,Electric vehicles are the future,neutral,Software/Tech,objective,Unknown
2.029455407459025e+18,ee,"You missed the point I think.  Those have been around for over a decade with no noticeable difference to road quality.  Suddenly we have an influx of heavy electric cars.  I'm not bashing electric, I had a Tesla and was by far the best car I've ever had.",positive,Software/Tech,subjective,Unknown
2.029454689864172e+18,bharath,A traditional fossil fuel car is completely superior to electric cars in every way.,negative,Sustainability,subjective,Unknown
2.029454165685212e+18,Rosie,"Not just Green hydrogen, moving Freight traffice from road to train is the cheapest way of replacing diesel.
DFC's + hydrogen (Green+Brown) + Ethanol + Electric Vehicles + Electric buses+ Bio Diesel + Methanol from Coal shud save us atleast 2 million barrels per day thats $50B",positive,Cost & Value,subjective,United States
2.029452489922364e+18,Elderly Sydney white guy,Just wondering… how do they charge the electric vehicles? Solar? Wind? Or is it the main grid powered by……..?,neutral,Charging,subjective,Unknown
2.029452111810077e+18,Lola,"You are drawing a very long bow with your unfounded assertions.

Also, why do you seem to have a problem with electric vehicles, Chinese or otherwise?

Following are:
Grok’s thoughts on your posting
Grok’s analysis of the impact of the Middle East conflict

++++++++++

Grok’s",negative,Cost & Value,subjective,China
2.029451232381944e+18,Noah Yi,Tim is obviously unaware that people are struggling to pay their electricity bill and put food on their tables. Is he giving away these electric vehicles?,neutral,Cost & Value,subjective,Unknown
2.029450083352155e+18,Sandhillsrider,"So with all the high PLF solar hybrids, Electric vehicle momentum...who controls the critical component supply chain? Unlike Petrol, it is a monopoly here. What if that adversary choke the supply that too at a critical juncture or in case of hostility?",positive,Cost & Value,subjective,Unknown
2.029449328494866e+18,silvacutz,"That’s a smart step toward frictionless EV infrastructure.
Summoning a mobile charger through a phone app turns parking into a seamless charging experience, showing how automation and smart energy systems are quietly redefining convenience for electric vehicle drivers.",neutral,Charging,subjective,Unknown
